SMSA_name,Per_capita_Retail_sales ,Per_capita_Retail_Establishments,Per_capita_income,Per_capita_federal_expenditures,Males_per_100_females 
"Forsyth, GA",5.494,0.845,20.185,1.448,101
"Forsyth, NC",10.241,1.25,22.572,3.282,90
"Fort Bend, TX",4.357,0.726,20.79,1.22,101
"Franklin, MO",7.13,1.141,16.812,2.494,98
"Franklin, NC",2.975,0.766,14.131,2.3,94
"Franklin, OH",10.242,0.944,20.796,4.433,93
"Franklin, VT",7.848,1.311,16.099,3.108,98
"Franklin, WA",7.947,0.798,15.556,3.564,106
"Frederick, MD",7.848,0.997,20.204,3.064,97
"Fresno, CA",6.761,0.909,16.836,3.062,99
"Fulton, GA",9.84,1.131,28.428,6.627,91
"Fulton, OH",6.197,1.145,17.681,2.803,96
"Gadsden, FL",4.079,0.849,13.192,4.736,91
"Gallatin, KY",2.559,0.918,13.405,3.149,99
"Galveston, TX",6.841,1.06,18.809,3.254,97
"Garfield, OK",7.457,1.193,17.314,5.098,93
"Gaston, NC",7.037,0.938,16.819,2.361,93
"Geauga, OH",5.122,0.956,22.417,1.394,98
"Genesee, MI",8.353,0.966,18.494,3.136,92
"Genesee, NY",5.83,1.135,17.558,2.999,95
"Gloucester, NJ",8.538,0.956,19.879,2.785,95
"Gloucester, VA",5.777,0.898,17.065,3.483,98
"Goochland, VA",2.662,0.633,25.003,1.721,96
"Grand Forks, ND",9.947,0.965,16.001,5.177,105
"Grand Isle, VT",3.672,1.74,19.311,2.724,101
"Grant, KY",7.377,1.177,14.064,2.633,97
"Grayson, TX",7.986,1.306,17.388,3.509,91
"Greene, MO",11.496,1.294,18.419,3.259,92
"Greene, OH",6.105,0.849,18.909,11.844,96
"Greene, VA",2.351,0.92,14.337,2.33,99
"Greenup, KY",3.122,0.815,15.112,2.93,94
"Greenville, SC",9.244,1.233,18.717,2.839,93
"Gregg, TX",10.651,1.645,18.819,3.09,92
"Grundy, IL",6.723,1.051,20.475,2.481,99
"Guadalupe, TX",5.201,0.898,15.624,2.826,98
"Guilford, NC",10.085,1.195,21.608,5.034,90
"Gwinnett, GA",9.248,1.008,21.668,1.364,99
"Hamilton, IN",7.488,1.012,28.016,1.51,96
"Hamilton, OH",9.021,0.979,22.951,5.461,90
"Hamilton, TN",9.383,1.221,20.09,6.277,89
"Hampden, MA",7.774,1.024,19.337,4.042,91
"Hampshire, MA",5.632,1.116,18.228,3.518,90
"Hampton, VA",9.848,0.815,16.484,9.764,95
"Hancock, IN",5.419,0.944,19.864,1.851,97
"Hancock, MS",4.519,0.962,13.339,9.203,99
